========FIRST LAYER WEIGHTS========
=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X106|    2|    0|   -2|    0|    2|    2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|   -2|    0|    0|    2|    0|   -2|    0|    0|    0|    2|   -2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X107|    2|    0|   -2|    0|    2|    2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|   -2|    0|    0|    2|    0|   -2|    0|    0|    0|    2|   -2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X108|   -2|    0|    2|    0|   -2|   -2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    2|    0|    0|   -2|    0|    2|    0|    0|    0|   -2|    2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X109|   -2|    0|    2|    0|   -2|   -2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    2|    0|    0|   -2|    0|    2|    0|    0|    0|   -2|    2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X110|   -2|    0|    2|    0|   -2|   -2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    2|    0|    0|   -2|    0|    2|    0|    0|    0|   -2|    2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X111|    0|   -2|    0|   -2|    0|    0|    0|   -2|    2|   -2|    2|   -2|    0|   -2|    0|    2|    2|    0|    0|    0|    2|   -2|    0|   -2|    0|    2|   -2|   -2|    0|    0|    2|   -2|   -2|   -2|    2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X112|    2|    0|   -2|    0|    2|    2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|   -2|    0|    0|    2|    0|   -2|    0|    0|    0|    2|   -2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X113|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X114|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X115|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X116|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X117|    2|    0|   -2|    0|    2|    2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|   -2|    0|    0|    2|    0|   -2|    0|    0|    0|    2|   -2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X118|    0|   -2|    0|   -2|    0|    0|    0|   -2|    2|   -2|    2|   -2|    0|   -2|    0|    2|    2|    0|    0|    0|    2|   -2|    0|   -2|    0|    2|   -2|   -2|    0|    0|    2|   -2|   -2|   -2|    2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X119|   -2|    0|    2|    0|   -2|   -2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    2|    0|    0|   -2|    0|    2|    0|    0|    0|   -2|    2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X120|   -2|    0|    2|    0|   -2|   -2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    2|    0|    0|   -2|    0|    2|    0|    0|    0|   -2|    2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X121|    0|   -2|    0|   -2|    0|    0|    0|   -2|    2|   -2|    2|   -2|    0|   -2|    0|    2|    2|    0|    0|    0|    2|   -2|    0|   -2|    0|    2|   -2|   -2|    0|    0|    2|   -2|   -2|   -2|    2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X122|    2|    0|   -2|    0|    2|    2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|   -2|    0|    0|    2|    0|   -2|    0|    0|    0|    2|   -2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X123|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X124|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X125|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X126|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X127|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X128|    0|   -2|    0|   -2|    0|    0|    0|   -2|    2|   -2|    2|   -2|    0|   -2|    0|    2|    2|    0|    0|    0|    2|   -2|    0|   -2|    0|    2|   -2|   -2|    0|    0|    2|   -2|   -2|   -2|    2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X129|    0|   -2|    0|   -2|    0|    0|    0|   -2|    2|   -2|    2|   -2|    0|   -2|    0|    2|    2|    0|    0|    0|    2|   -2|    0|   -2|    0|    2|   -2|   -2|    0|    0|    2|   -2|   -2|   -2|    2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X130|   -2|    0|    2|    0|   -2|   -2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    2|    0|    0|   -2|    0|    2|    0|    0|    0|   -2|    2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X131|    0|   -2|    0|   -2|    0|    0|    0|   -2|    2|   -2|    2|   -2|    0|   -2|    0|    2|    2|    0|    0|    0|    2|   -2|    0|   -2|    0|    2|   -2|   -2|    0|    0|    2|   -2|   -2|   -2|    2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X132|    2|    0|   -2|    0|    2|    2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|   -2|    0|    0|    2|    0|   -2|    0|    0|    0|    2|   -2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X133|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X134|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X135|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X136|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X137|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X138|    0|   -2|    0|   -2|    0|    0|    0|   -2|    2|   -2|    2|   -2|    0|   -2|    0|    2|    2|    0|    0|    0|    2|   -2|    0|   -2|    0|    2|   -2|   -2|    0|    0|    2|   -2|   -2|   -2|    2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 X139|    0|   -2|    0|   -2|    0|    0|    0|   -2|    2|   -2|    2|   -2|    0|   -2|    0|    2|    2|    0|    0|    0|    2|   -2|    0|   -2|    0|    2|   -2|   -2|    0|    0|    2|   -2|   -2|   -2|    2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
========SECOND LAYER WEIGHTS========
=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|
     |   w0|   w1|   w2|   w3|   w4|   w5|   w6|   w7|   w8|   w9|  w10|  w11|  w12|  w13|  w14|  w15|  w16|  w17|  w18|  w19|  w20|  w21|  w22|  w23|  w24|  w25|  w26|  w27|  w28|  w29|  w30|  w31|  w32|  w33|  w34|  w35|  w36|  w37|  w38|  w39|  w40|  w41|  w42|  w43|  w44|  w45|  w46|  w47|  w48|  w49|  w50|  w51|  w52|  w53|  w54|  w55|  w56|  w57|  w58|  w59|  w60|  w61|  w62|  w63|  w64|  w65|  w66|  w67|  w68|  w69|  w70|  w71|  w72|  w73|  w74|  w75|  w76|  w77|  w78|  w79|  w80|  w81|  w82|  w83|  w84|  w85|  w86|  w87|  w88|  w89|  w90|  w91|  w92|  w93|  w94|  w95|  w96|  w97|  w98|  w99| w100| w101| w102| w103| w104| w105| w106| w107| w108| w109| w110| w111| w112| w113| w114| w115| w116| w117| w118| w119| w120| w121| w122| w123| w124| w125| w126| w127| w128| w129| w130| w131| w132| w133| w134| w135| w136| w137| w138| w139|
=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|
   Y0|    0|    2|    2|   -2|   -2|   -2|   -2|    0|    2|    2|    0|    2|    0|   -2|   -2|   -2|   -2|   -2|    2|    2|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    0|    2|    2|   -2|   -2|   -2|    0|    2|    0|    0|    2|    2|    0|   -2|   -2|   -2|    0|    2|    0|    2|    2|    0|    0|   -2|   -2|   -2|    0|    2|    2|    2|    0|    0|    0|   -2|   -2|   -2|    0|    0|    0|    0|   -2|   -2|   -2|   -2|   -2|   -2|    0|    0|   -2|    0|    0|   -2|   -2|   -2|   -2|   -2|    0|    2|    0|    0|    2|    2|    0|   -2|   -2|   -2|    0|    2|    0|    0|    0|    2|    2|   -2|   -2|   -2|    0|    2|    0|    0|    0|    0|    2|    0|   -2|   -2|    0|    2|    0|    0|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   Y1|    2|    0|    0|    0|    0|    0|    0|    2|    0|    0|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|    2|   -2|   -2|    2|    2|    2|    2|   -2|   -2|    2|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    0|    0|    0|   -2|    0|    0|    0|    2|    2|    2|    0|    0|    0|   -2|   -2|   -2|   -2|    0|    0|    0|    0|    0|    0|   -2|   -2|    0|   -2|   -2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    2|    2|    0|   -2|    0|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   Y2|    0|   -2|   -2|    2|    2|    2|    2|    0|   -2|   -2|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|    0|   -2|   -2|    2|    2|    2|    0|   -2|    0|    0|   -2|   -2|    0|    2|    2|    2|    0|   -2|    0|   -2|   -2|    0|    0|    2|    2|    2|    0|   -2|   -2|   -2|    0|    0|    0|    2|    2|    2|    0|    0|    0|    0|    2|    2|    2|    2|    2|    2|    0|    0|    2|    0|    0|    2|    2|    2|    2|    2|    0|   -2|    0|    0|   -2|   -2|    0|    2|    2|    2|    0|   -2|    0|    0|    0|   -2|   -2|    2|    2|    2|    0|   -2|    0|    0|    0|    0|   -2|    0|    2|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   Y3|    2|    0|    0|    0|    0|    0|    0|    2|    0|    0|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|    2|   -2|   -2|    2|    2|    2|    2|   -2|   -2|    2|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    0|    0|    0|   -2|    0|    0|    0|    2|    2|    2|    0|    0|    0|   -2|   -2|   -2|   -2|    0|    0|    0|    0|    0|    0|   -2|   -2|    0|   -2|   -2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    2|    2|    0|   -2|    0|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   Y4|    0|    2|    2|   -2|   -2|   -2|   -2|    0|    2|    2|    0|    2|    0|   -2|   -2|   -2|   -2|   -2|    2|    2|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    0|    2|    2|   -2|   -2|   -2|    0|    2|    0|    0|    2|    2|    0|   -2|   -2|   -2|    0|    2|    0|    2|    2|    0|    0|   -2|   -2|   -2|    0|    2|    2|    2|    0|    0|    0|   -2|   -2|   -2|    0|    0|    0|    0|   -2|   -2|   -2|   -2|   -2|   -2|    0|    0|   -2|    0|    0|   -2|   -2|   -2|   -2|   -2|    0|    2|    0|    0|    2|    2|    0|   -2|   -2|   -2|    0|    2|    0|    0|    0|    2|    2|   -2|   -2|   -2|    0|    2|    0|    0|    0|    0|    2|    0|   -2|   -2|    0|    2|    0|    0|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
